MP.Name,Date,Event,Type,Numbers,Venue.s.
"Morgan, Julie",1/13/09,'Get it Right' Campaign Westminster Reception,Dinn,25,Dng Rm B
"Vaizey, Ed",3/18/09,'google' Lunch,Lnch,12,Dng Rm C
"Lloyd, Tony",11/22/06,'Old Merry Pebbles',Rec,25,Dng Rm D
"Drew, David",6/24/09,'Save our villages' campaign launch,Rec,40,Dng Rm B
"Lloyd, Tony",4/29/08,'Vote for a Free Day' Thomas Cook,Rec,80,Strngrs Dng Rm
"Khan, Sadiq",7/18/06,'Your Human Rights' Guides Launch,Rec,100,Strngrs Dng Rm
"Luff, Peter",10/17/07,+91 Indian Entrepreneurs & Professionals,Rec,140,Tce Pvln
"Mactaggart, Fiona",10/21/08,02 It's your Community Reception,Rec,110,Tce Pvln
"Baldry, Tony",2/1/07,1 Essex Court,Dinn,50,Dng Rm A
"Blunt, Crispin",7/3/09,10 Platoon Salerno Company Reunion,Dinn,15,Dng Rm B
"Burgon, Colin",5/13/09,10 years of Social progress in Venezuela,Rec,100,Strngrs Dng Rm
"Lidington, David",1/29/08,100 Birthday Party for Mr Sidney Hawley,Tea,56,Dng Rm A
"Oaten, Mark",3/26/07,100 Property Club,Lnch,47,Dng Rm A
"Lancaster, Mark",1/20/06,101 Engineer Regt,Dinn,54,Dng Rm A
"Wyatt, Derek",5/4/07,10th Anniversary Constituency Dinner,Dinn,69,"Mmbrs Dng Rm, Strngrs Dng Rm"
"Hopkins, Kelvin",4/1/09,10th Birthday National Minimum Wage,Rec,80,Dng Rm A
"Gibson, Ian",6/17/08,10th Birthday of APPG on Cancer,Rec,150,Mmbrs Dng Rm
"Penning, Mike",11/29/07,12 Brigade Reception,Rec,100,Strngrs Dng Rm
"Russell, Christine",10/11/06,140th Anniversary of Old King's Scholars,Rec,57,Dng Rm A
"Hope, Phil",11/9/06,15 Years Celebration for IIP,Rec,200,Mmbrs Dng Rm
"Rifkind, Sir Malcolm",2/8/07,162 MC Regt Field Officers Supper,Dinn,11,Dng Rm C
"Milton, Anne",3/13/06,1867 Club,Dinn,24,Dng Rm B
"Atkinson, Peter",5/13/08,1900 Club Dinner,Dinn,28,Club Rm
"Gibb, Nicolas",7/4/05,1912 Club,Dinn,48,Dng Rm A
"Gibb, Nicolas",11/5/07,1912 Club,Dinn,46,Dng Rm A
"Rosindell, Andrew",7/3/07,1912 Club,Dinn,43,Dng Rm A
"Selous, Andrew",1/23/06,1912 Club,Dinn,54,Dng Rm A
"Watkinson, Angela",11/13/06,1912 Club Dinner,Dinn,53,Dng Rm A
"Watkinson, Angela",1/22/08,1912 Committee,Lnch,45,Dng Rm A
"Spicer, Sir Michael",10/29/08,1922 Committee,Dinn,32,Club Rm
"Spicer, Sir Michael",7/4/07,1922 Executive Committee,Dinn,30,Club Rm
"Ottaway, Richard",3/23/05,1949 Club,Dinn,23,Dng Rm B
"Ottaway, Richard",6/20/05,1949 Club,Dinn,54,Dng Rm A
"Ottaway, Richard",6/6/06,1949 Dinning Club,Dinn,54,Dng Rm A
"Grayling, Chris",6/8/04,1964 Club,Dinn,50,Dng Rm A
"Grayling, Chris",6/7/05,1964 Club,Dinn,54,Dng Rm A
"Grayling, Chris",6/8/06,1964 Club,Dinn,54,Dng Rm A
"Grayling, Chris",6/14/07,1964 Club,Dinn,48,Dng Rm A
"Grayling, Chris",11/15/07,1964 Club Dinner,Dinn,53,Dng Rm A
"Greenway, John",6/18/07,1987 Conservative In Take,Dinn,19,Dng Rm B
"Balls, Ed",1/23/08,1994 Group Dinner,Rec,200,Mmbrs Dng Rm
"Rammell, Bill",3/29/07,1994 Group Reception,Rec,190,Tce Pvln
"Walker, Charles",9/25/08,1A Fundraising Evening,Dinn,161,"Mmbrs Dng Rm, Strngrs Dng Rm"
"Bercow, John",7/12/06,1st Anniversary Bus Action for Africa,Rec,45,Dng Rm B
"Blizzard, Robert",10/11/07,1st East Launch,Rec,115,Tce Pvln
"Baker, Norman",6/8/06,2 Year Anniversary,Dinn,22,Dng Rm B
"Stoate, Howard",11/26/08,2008 Annual Reception,Rec,100,Tce Pvln
"Grayling, Chris",6/5/08,2008 Dng Club Spring Dinner,Dinn,65,Mmbrs Dng Rm
"Russell, Bob",10/9/08,2008 Education Journalist of the Year Awards,Rec,120,Mmbrs Dng Rm
"Paice, James",12/5/08,2008 Food & Farming Industry Awards,Dinn,165,"Mmbrs Dng Rm, Strngrs Dng Rm"
"O'Brien, Stephen",2/6/08,2020 Health Promotion,Bfast,11,Dng Rm C
"Lansley, Andrew",7/5/07,2020 Health.Org,Bfast,13,Dng Rm C
"Afriyie, Adam",7/16/08,2020Health.org,Bfast,14,Dng Rm C
"Hunt, Jeremy",5/14/08,25th Anniversary,Rec,170,Tce Pvln
"Robertson, Laurence",4/27/09,25th Anniversary Drinks Reception,Rec,45,Dng Rm B
"Simpson, Alan",1/8/08,25th Anniversary Reception,Rec,150,Tce Pvln
"Heathcoat-Amory, David",6/14/07,300th Aniversary of The UK Parliament,Dinn,73,Mmbrs Dng Rm
"Mackay, Andrew",12/13/05,3M,Dinn,44,Dng Rm A
"Mackay, Andrew",6/6/06,3M,Lnch,11,Astor Suite
"Mackay, Andrew",12/12/06,3M,Dinn,45,Dng Rm A
"Mackay, Andrew",7/11/07,3M,Lnch,9,Dng Rm C
"of Bishop Auckland, Foster",12/14/04,3M,Dinn,35,Dng Rm A
"Reed, Andrew",6/14/05,3M,Lnch,12,Astor Suite
"Mackay, Andrew",6/10/08,3M Company,Lnch,14,Astor Suite
"Mackay, Andrew",12/3/08,3M Company,Dinn,40,Dng Rm A
"Mackay, Andrew",12/10/07,3M Parliamentary Dinner,Dinn,50,Dng Rm A
"Irranca-Davies, Huw",11/6/08,40th Anniversary of 1958 Transportation Act,Rec,100,Tce Pvln
"Butler, Dawn",7/1/09,4Children,Rec,60,Strngrs Dng Rm
"Loughton, Tim",12/13/07,4Children - Christmas Reception,Rec,70,Dng Rm A
"Davies, Philip",2/12/09,4th Birthday,Dinn,51,Dng Rm A
