"","Dist_ID","lon","lat","Dist_Name","Province_Name","Aug.10","May_Aug_2010","X2010","X2009_and_2010","X2009","Prov_ID","Province","Est_votes","Total_PS","Male","Female","Kuchi"
"1",101,69.15,34.52,"Kabul","Kabul",26,142,254,639,385,1,"Kabul",1159300,2169,1321,731,117
"2",102,69.31,34.67,"Deh Sabz","Kabul",1,13,20,42,22,1,"Kabul",36200,71,25,16,30
"3",103,69.04,34.66,"Shakardara","Kabul",2,6,15,24,9,1,"Kabul",19000,42,26,16,0
"4",104,68.94,34.55,"Paghman","Kabul",1,20,37,75,38,1,"Kabul",12600,26,15,7,4
"5",105,69.07,34.39,"Chahar Asyab","Kabul",0,6,8,16,8,1,"Kabul",28400,59,27,18,14
"6",106,69.22,34.37,"Musayi","Kabul",1,10,19,42,23,1,"Kabul",10800,26,13,7,6
"7",107,69.34,34.48,"Bagrami","Kabul",2,19,47,80,33,1,"Kabul",26000,55,29,16,10
"8",108,69.18,34.85,"Qarabagh","Kabul",0,5,11,21,10,1,"Kabul",47700,93,50,23,20
"9",109,69.18,34.76,"Kalakan","Kabul",0,2,5,9,4,1,"Kabul",22400,47,25,16,6
"10",110,69.12,34.73,"Mir Bacha Kot","Kabul",0,0,0,5,5,1,"Kabul",33200,64,34,18,12
"11",111,69,34.75,"Guldara","Kabul",0,1,1,6,5,1,"Kabul",8000,20,11,9,0
"12",112,69.43,34.37,"Khak-e- Jabbar","Kabul",2,10,17,24,7,1,"Kabul",39600,83,50,27,6
"13",113,69.7,34.53,"Surobi","Kabul",2,42,72,113,41,1,"Kabul",8000,16,7,5,4
"14",114,69.02,34.85,"Estalef","Kabul",0,0,0,4,4,1,"Kabul",11800,29,14,11,4
"15",115,69.02,34.79,"Farza","Kabul",0,1,1,1,0,1,"Kabul",10800,24,13,7,4
"16",201,69.42,35,"Mahmud-e- Raqi","Kapisa",2,15,24,49,25,2,"Kapisa",35500,70,36,24,10
"17",202,69.65,35.05,"Nejrab","Kapisa",4,12,32,55,23,2,"Kapisa",41200,70,38,32,0
"18",203,69.47,35.11,"Koh Band","Kapisa",0,0,1,4,3,2,"Kapisa",16500,31,19,12,0
"19",204,69.33,35.07,"Hisa Duwum-e- Kohestan","Kapisa",0,1,4,10,6,2,"Kapisa",53000,95,50,37,8
"20",205,69.68,34.79,"Tagab","Kapisa",2,32,77,126,49,2,"Kapisa",52500,95,57,30,8
"21",206,69.81,34.93,"Alasay","Kapisa",3,6,13,24,11,2,"Kapisa",25100,46,29,15,2
"22",207,69.34,35.14,"Hesa Awal-e- Kohestan","Kapisa",0,0,4,14,10,2,"Kapisa",24300,42,25,17,0
"23",301,69.14,34.99,"Chaharikar","Parwan",1,18,31,52,21,3,"Parwan",83400,140,86,54,0
"24",302,69.19,35.12,"Jabalussaraj","Parwan",2,3,5,10,5,3,"Parwan",34200,57,32,25,0
"25",303,68.97,35.12,"Shinwari","Parwan",2,16,16,22,6,3,"Parwan",14400,24,14,10,0
