"","Province","Prov_ID","Inc_2009","Est_votes","Total_PS","Male.votes","Femal.votes","Kuchi","Female.pop","Male.pop","Total.pop"
"1","Badakhshan",15,NA,511293,975,NA,NA,7,422000,438300,860300
"2","Badghis",31,74,298980,595,NA,NA,NA,219400,229400,448800
"3","Baghlan",9,NA,482400,807,454,332,NA,399000,419600,818600
"4","Balkh",26,451,688532,1311,730,537,NA,571100,597900,1169000
"5","Bamyan",10,50,203761,412,209,203,NA,199600,205100,404700
"6","Farah",33,1278,233996,540,NA,NA,NA,223300,235200,458500
"7","Faryab",28,159,505895,886,434,430,NA,440700,459300,9e+05
"8","Ghazni",11,273,924454,1601,NA,NA,NA,543500,567800,1111300
"9","Ghor",20,39,331818,713,NA,NA,NA,305800,319400,625200
"10","Helmand",29,168,391200,659,486,NA,NA,406700,429100,835800
"11","Kabul",1,594,1473800,2824,1660,927,NA,1725300,1843200,3568500
"12","Kandahar",30,308,912778,1661,966,NA,NA,526200,554100,1080300
"13","Khost",25,150,438091,776,NA,NA,NA,253800,266400,520200
"14","Kunarha",13,969,338369,603,335,260,8,199000,208800,407800
"15","Kunduz",17,337,517100,900,475,397,NA,442100,458200,900300
"16","Laghman",7,165,291435,560,NA,NA,NA,196700,206800,403500
"17","Logar",5,178,238776,478,NA,NA,NA,174400,180500,354900
"18","Nimroz",34,145,112800,203,105,84,NA,72600,75900,148500
"19","Nooristan",14,71,154226,290,159,131,NA,65700,68400,134100
"20","Paktika",24,242,423469,788,NA,NA,NA,191700,202100,393800
"21","Parwan",3,86,322000,536,312,219,NA,296500,303500,6e+05
"22","Takhar",16,106,515350,960,NA,NA,NA,434300,452100,886400
"23","Urozgan",22,34,183106,334,NA,NA,NA,153900,163300,317200
"24","Wardak",4,289,296970,530,NA,NA,NA,264400,275700,540100
"25","Zabul",23,270,73880,127,NA,NA,NA,134000,141100,275100
