body,views,replies,title,time,date,id
"Assalamu Alaykum brothers and sisters,
I
have several dilemmas i want to get out of and this has made me lonely.
As i intent to write a lot, i suggest for anyone who gets board of my
long desperate talk to just read the bit they can and advise me even it
is just a sentence. I will find it very beneficail and comforting to
get help from muslim brothers and sisters. 
Firstly i will
start with a bit of my background and then the dilemmas. I am a
boarding student in a school with few muslims. For some years now, i
hav been doing some da'wah, mainly enjoining good and forbiding evil,
and jihadinnafs, trying to become closer to Allah. But i have been
facing several problems.
First of all, i have no friend. Not
because i do not socialise, etc but because either people do not want
to get too close to me as they go partying and stuff while i dont, or
they are bad people who befriend me and influence me to do bad things.
Hence i am in a situation where i do not have a friend, i have no one
to speak too, no one to consult, no one to support me and i feel
depressed and lonely. i do not know what to do. 
And then i
think this loneliness leads me to other problems. As i get lonely, the
natural sexual drive awakens and i struggle to control it, sometimes
leading to minor sinful activities like not lowering the gaze. 
And
this problem makes me want to get married to avoid getting aroused. The
Prophet (S) advised young men to fast if they cant get married but it
has not been helping me much and i seriously dont want to wait for
years before i get married. But i am only 18, (just going to
university, insha Allah in London or California). i have not started
searching for prospective partners because It would be difficult for me
to get married due to social norms of getting to the late 20's when one
has a degree, a job, a house, etc before getting married, plus parents
are relunctunt to give their daughters in marriage to an 18 year old
and sisters are also not normally willing to marry an 18 year old.
Anyway alhamdulillah my parents i know could help me financially should
i get married, even though i think they are also not going to be in
favour of early marriage.
The last thing i want to talk about is
my dilemma between liberalism and extremism. The Prpphet (S) said
religion is easy and anyone who tries to overburden themselves will
find it hard and will not be able to continue. So anytime i relax, i
deviate sometimes and then when i strive hard, i get tired of what i am
doing i.e. memorising the quran, etc. How should one put the balance
right?
Thank you for anyone whoo reaches this stage of reading
my problem. May Allah reward you for reading and reward you more for
helping. Ameen",988,27,I Think I Feel Lonely,21:57:00,1/28/05,1
"Salam alaykum Brother,
Brother
you are ever welcome and you have a place in the muslim ummah. I am
glad you seek to solve your problem by asking fellow muslims for
advise. That is the best way forward for the best advise is that
according to the quran and sunnah. i encourage you to get married
because the prophet (S) said marriage is half the dee, the other half
is to control your tongue. 
My advice to you is to tell her and
do Al-istikhara prayer, prayer asking Allah for guidance for what to
do. Imagine getting married and not being trusted by your wife and her
family and friends? So eventhough telling her your real age might end
the marriage plans, your better off. But most likely if she loves you
and she is religious, and you show her you have repented, then your
marriage should still go ahead. Our prophet married Khadija who was
15years older than he was and it was a perfect and ideal marriage, with
6 children.
Insha Allah i will find more time to talk to you.
Ma'assalam
Brother Farouk.
Please tell me how your doing, the outcome and any comments or remarks you have.",667,18,Im Such An Idiot!,8:37:00,1/29/05,2
"Salam Alaykum sister,
Nice
to hear you want to learn about the deen. Perhaps you could ask
specific things you want to know, or if you need any sort of
counselling, post it on the counselling forum. 
May Allah help and guide you.
Ma'assalam",290,4,Salam Alikum~,15:47:00,1/29/05,3
"Assalamu alaykum brother,
Is good you turn to websites like this for help. Muslims are always ever willing to help each other. 
I
will give you the prophet's advise, take special time, care and
deliberation to perform your ablusion as perfect as you can. the more
perfect, the more concentration.
Then try and memorise by heart,
the meaning of surarul fatihah and follow it during the paryer. Then
remember Allah is nearby you as you pray, and praying is worship and
du'a, so keep in mind that all you do is for Allah who is ever
observant of your prayer i.e. humility and submission when bowing, etc
Ma'assalam
Pls tell us how ur salat has improved after some time or if you need more help due to specific problem, knock on our doors!",720,21,Cant concentrate in Salat,15:52:00,1/29/05,4
"Assalamu alaykum brother,
Brother
you are welcome and i think i can see how you might be feeling. You
know, loneliness in religion is not only encounted by reverts and
converts to Islam, but also by muslims who are trying their best to
practice their deen, because honestly many muslims are just muslims by
name and the ones who actually practice thier religion ernestly are a
very few. Sad but true i believe.
So brother, i can tell you
your not alone, i myself (originally in a muslim country and schooling
elsewhere with several muslims) have met hundreds of muslims but
finding no good friend.
I'm sure people have been telling you to
talk to ur family, i also advise you to do the same. Reach to them,
express how you love them and miss them, tell them how you find comfort
with Islam, the true religion. 
Also realise that your going
through a test and Allah will be with you if you remember him, stick to
your deen no matter what. Insha Allah you will find comfort and may
Allah help you and be with you. Ameen
Ma'assalam
Please tell us how it goes with you. You are always welcome.",375,8,I'm Just Floating Along,20:52:00,1/29/05,5
"Assalamu alaykum brother,
I
am new to IF and when i first came here, i thought i was the only
lonely soul. But after, i realised that almost every good muslim gets
lonely at some point. This i believe is because really there are many
muslims but most are just muslims by name who do not practice the deen
ernestly, leaving the few good muslims alone. So its a test we have to
strive and go through for the sake of Allah.
As for me, i hope
to get over my loneliness when i go to university or college insha
Allah very soon where there are usually islamic groups clubs with good
muslims. I am not yet a full member, but insha Allah when i do become a
full member in IF, then i will get good brother's contacts and chat
with them on MSN. That i think can help a lot for anybody who is lonely.
You
know with marrige, again good muslims are struggling to find good
partners due to the society we live in. A good way to find a good
partner is i believe to go to masjids you trust, inquire for muslim
sistrs who also want to get married. Also ask any good muslim friends
and family members to help you find a good prospective partner. I dont
advise you to use an online matrimonial, even if it is islamic
eventhough there could be good prospective partners, it is hard to find
them.
I also wwant to get married bu i am having problems. I
will love to discuss this topic with you on MSN, if you wish , you can
send me an email.
Ma'assalam. 
I will love to know how your doing.",479,18,I Need A Quick Answer Please  Inshallah,21:24:00,1/29/05,6
"Assalamu Alaykum sister,
You
are welcome to this forum full of good and caring muslims. You as i
told someone, i realise that all good muslims are lonely at some point
in thier lives. Why? well because most of the muslims around are just
muslim by name and do not sincerely practice their religion. Hence the
few good muslims are left lonely. I am lonely too sister, you know. I
cannot find good muslim friends and i just have to try my best to find
comfort by getting closer to Allah. Even the prophet (S) was lonely
when Khadija and Abu Talib passed away. So loneliness is a trial from
Allah that we have to try and endure without deviating from the
straight path and sinning.
Marriage has now become a big problem
in the muslim community. The prophet (S) has said it, his words are
ever true. He said if you find a prospective partner whose religion and
character you are happy with, then get your schildren married or else
we will have problems in the ummah. And as a scholar said, now people
set up a demanding criteria for prospective partners making it more
difficult to find a match because ideal partners dont really exist. For
example one will say, my partner must be religious and have a good
character (that's good), but then the list also includes things like,
the partner must be good looking, a certain skin complexion, a certain
tribe, speaks a certain language, lives in a certain country, has a
certain job, must be 2 years older or younger...(people's list go on
forever, i have even heard ridiculous ones like the partner must have a
dimple on the cheek!)
i dont advise you to use matrimonials. i
think there are always bad people who present themselves as good people
but aren't. Also its so unreal i think. 
Eventhough one might
be shy, i think good ways of finding partners is to ask family and
friends to find you one and inquire for good partners for you. Also
people looking for partners frequently go to masjids so one could
inquire about them or inquire throught the imam, or through somebody.
That's
what i have to say, if you still want to ask for specific advice or
help, you are always welcome. There are good people that will help you
in IF.
Please also tell us in IF how it goes with you. It
encourages people who give advice tom keep on putting in the effort
knowing the results of their efforts, whether succesful or not.
Ma'assalam",368,9,Sorry..but I Want 2 Get Married...,19:30:00,1/30/05,7
"Assalamu alaykum sister,
It
is really sad to hear about muslims going through such ordeals. May
Allah help you, guide you, recompense you and be with you. Ameen
The
prophet (S) said The mother should be given 3 times more care and
companionship than the father. Nevertheless the father should also be
treated as a parent.
So whatever you do, try not to hurt your
mother, but i think try and involve some wise relatives, wise imams in
your area, etc to talk to your mother about what best should be done.
If you think you can, i think it will even be better that you express
to your mother how you feel, what you want and so on, of course not in
a way that will make her angry. 
You need to get married. The
prophet (S) said marriage is half the deen and the other half is that
you watch your tongue (what you say and eat). This will bring happiness
to your life as well as for your mother and will not make you and your
family lonely. Choosing a husband taht is religious and has a good
character is the basis of all lasting and happy relations. All other
things should not be given as much importance.
Please tell us
how it goes. Its nice to know what happens to the person who advice has
been given to. It encourages the advisor to keep on helping people
knowing their effort isnt wasted.
Ma'assalam",303,9,Daughter Of A Divorcee,19:46:00,1/30/05,8
"Assalamu alaykum brother,
You seem to me like your depressed and you even said 'screw life'.
I
think you need to a qualified counsellor/ psychiatrist /psychologist.
You could also write your complains to www.islamonline.net , they have
professional islamic counsellors willing to help.
Talk to an
imam in area. tell him your problems. Talk to any family member or
friend you trust. Talk to your parents if you can. Tell them how you
feel depressed and so on due to the 'burden'. If you cant talk to your
parents, ask a wise family member, or relative or imam nearby to talk
to your parents about the burden they are laying on your shoulders.
Since
you said you do not like studying, what do you like then? there must be
something you do when your not studying, what is it? is it islamically
good? Are you hanging around with a group of friends who do not like
studying? Hang around with good muslims, and students who enjoy
studying.
Please tell us how it goes. Its nice to know what
happens to the person who advice has been given to. It encourages the
advisor to keep on helping people knowing their effort isnt wasted.
Ma'assalam",632,16,i dont even know what to put as the title,20:06:00,1/30/05,9
"Assalamu Alaykum sister,
May Allah be with you, reward you, help you and guide you. Ameen
It
is very sad to hear your situation and the ordeals you are going
through. It's a pity that muslims go through these kind of situations.
Your problem is very complex. I recommend you submit your counselling
problrm to professional muslim counsillors at www.islamonline.net 
My
advice to you is not to go through this alone. Talk to your family and
trusted friends. Try your best to work with your husband, his family or
relatives or friends and your family or friends or relative, and maybe
a wise imam you know and trust. Try and work to make this marriage
work. Even though there might be problems if this marriage continues, i
believe there could be more problems if the marriage doesn't work, the
whole divorce, finding another partner, financially taking care of
yourself, the emotional drawbacks (because you do love him) and so on.
As has been referred in the quran, if both parties honestly work to
solve the problem, and want to solve the problem, then by Allah's leave
everything will be fine.
Do salatul istikharah on this and
invoke Allah a lot about it. As a scholar said, if you have a problem,
invoke Allah like a small child or baby. Cry if you have to and keep
invoking Allah till He yields results for you. Indeed Allah, he is ever
watchful, ever present, knows exactly what you are going through, loves
that you invoke him, He is ever generous, forgiving and merciful and
will do what you believe He can do for you. So take comfort with Allah.
Please
tell us how it goes. Its nice to know what happens to the person who
advice has been given to. It encourages the advisor to keep on helping
people knowing their effort isnt wasted.
Ma'assalam",693,19,Marital Problems,11:55:00,1/31/05,10
