Date ,Member Joins
3/12/09,10
3/15/09,14
3/23/09,13
3/30/09,13
4/6/09,3
4/15/09,1
4/23/09,5
4/27/09,10
5/7/09,10
5/10/09,5
5/22/09,3
5/28/09,5
6/1/09,6
6/9/09,11
6/15/09,3
6/26/09,5
7/1/09,4
7/6/09,27
7/14/09,8
7/23/09,8
7/26/09,7
8/5/09,5
8/9/09,2
8/18/09,6
8/23/09,8
8/30/09,6
9/9/09,4
9/16/09,8
9/20/09,4
10/3/09,6
10/6/09,2
10/12/09,6
10/18/09,4
10/25/09,21
11/1/09,16
11/9/09,11
11/19/09,7
11/24/09,6
11/30/09,9
12/12/09,6
12/18/09,3
12/25/09,3
12/28/09,3
1/3/10,15
1/10/10,10
1/17/10,11
1/24/10,6
2/1/10,9
2/10/10,3
2/15/10,8
2/23/10,7
3/3/10,9
3/8/10,22
