Date,Total Members ,Active Members
8/13/09,192,99
8/16/09,192,97
8/23/09,198,97
8/30/09,206,99
9/6/09,212,102
9/13/09,215,104
9/20/09,223,106
9/27/09,225,115
10/4/09,230,100
10/11/09,233,91
10/18/09,238,71
10/25/09,242,51
11/1/09,263,68
11/8/09,277,76
11/15/09,289,108
11/22/09,296,134
11/29/09,303,132
12/6/09,314,130
12/13/09,320,145
12/20/09,324,135
12/27/09,326,140
1/3/10,330,122
1/10/10,346,113
1/17/10,354,117
1/24/10,364,150
1/31/10,369,152
2/7/10,377,145
2/14/10,380,145
2/21/10,387,139
2/28/10,390,140
3/7/10,398,140
