"","Player","Team","G","WPA","EPA","WPA/G","EPA/P","SR(%)","Att","Cmp","Cmp%","PassYds","Sk","SkYds","Int","%Deep","AYPA","pos"
"1","2-M.Ryan","ATL","16","4.75","117.1","0.30","0.18","48.3","571","357","62.5","3705","23","158","9","20.0","5.3","QB"
"2","9-D.Brees","NO","16","4.53","140.4","0.28","0.20","52.2","658","448","68.1","4620","25","185","22","16.3","5.0","QB"
"3","12-A.Rodgers","GB","15","3.51","131.0","0.23","0.22","52.7","475","312","65.7","3922","31","193","11","23.8","6.4","QB"
"4","12-T.Brady","NE","16","3.48","151.8","0.22","0.27","50.5","492","324","65.9","3900","25","175","4","14.6","6.9","QB"
"5","5-J.Flacco","BLT","16","3.31","77.3","0.21","0.13","45.8","489","306","62.6","3622","40","294","10","25.2","5.4","QB"
"6","5-J.Freeman","TB","16","3.10","101.0","0.19","0.17","47.0","474","291","61.4","3451","28","195","6","21.7","5.9","QB"
"7","18-P.Manning","IND","16","2.89","140.0","0.18","0.19","53.0","680","450","66.2","4700","16","91","17","21.3","5.5","QB"
"8","9-D.Garrard","JAX","14","2.42","50.2","0.17","0.10","48.1","366","236","64.5","2734","32","251","15","21.6","4.5","QB"
"9","17-P.Rivers","SD","16","2.02","140.9","0.13","0.22","50.1","541","357","66.0","4710","38","227","13","21.8","6.7","QB"
"10","8-M.Schaub","HST","16","2.02","119.3","0.13","0.18","49.2","574","365","63.6","4369","32","226","12","16.9","5.9","QB"
"11","7-B.Roethlisberger","PIT","12","1.87","112.4","0.16","0.24","49.0","389","240","61.7","3200","32","221","5","26.2","6.5","QB"
"12","7-M.Vick","PHI","12","1.78","102.1","0.15","0.20","49.0","372","233","62.6","3018","35","211","6","22.6","6.2","QB"
"13","10-E.Manning","NYG","16","1.75","63.3","0.11","0.10","49.3","539","339","62.9","4002","16","117","25","24.5","5.0","QB"
"14","6-M.Sanchez","NYJ","15","1.62","17.7","0.11","0.03","42.7","507","278","54.8","3291","27","171","13","20.9","4.7","QB"
"15","1-T.Smith","SF","6","1.34","8.1","0.22","0.04","41.5","145","73","50.3","1176","18","112","4","27.6","5.4","QB"
"16","7-M.Cassel","KC","15","1.28","73.9","0.09","0.14","47.3","450","262","58.2","3116","26","182","7","20.7","5.5","QB"
"17","8-J.Campbell","OAK","13","1.28","51.9","0.10","0.12","42.1","329","194","59.0","2387","33","208","8","22.2","5.0","QB"
"18","6-J.Cutler","CHI","15","0.86","42.7","0.06","0.08","46.5","432","261","60.4","3274","51","352","16","21.8","4.6","QB"
"19","10-V.Young","TEN","9","0.86","35.4","0.10","0.18","45.7","156","93","59.6","1255","13","80","3","32.7","6.2","QB"
"20","3-J.Kitna","DAL","10","0.60","42.3","0.06","0.11","48.2","318","209","65.7","2365","22","103","12","17.3","5.1","QB"
"21","5-D.McNabb","WAS","13","0.48","10.7","0.04","0.02","44.8","472","275","58.3","3377","37","271","15","18.9","4.8","QB"
"22","5-B.Gradkowski","OAK","6","0.22","-11.2","0.04","-0.06","42.4","158","83","52.5","1059","10","77","7","22.8","4.0","QB"
"23","8-K.Orton","DEN","13","0.12","50.3","0.01","0.09","44.8","498","293","58.8","3652","34","242","9","23.5","5.6","QB"
"24","8-S.Bradford","SL","16","0.09","-10.2","0.01","-0.02","42.9","590","354","60.0","3512","34","244","15","12.5","4.2","QB"
"25","12-C.McCoy","CLV","8","-0.18","16.5","-0.02","0.06","44.6","222","135","60.8","1576","23","132","9","20.3","4.2","QB"
"26","11-A.Smith","SF","11","-0.18","0.2","-0.02","0.00","41.4","342","204","59.6","2370","25","140","10","17.3","4.9","QB"
"27","8-M.Hasselbeck","SEA","14","-0.20","-9.9","-0.01","-0.02","46.7","444","266","59.9","2998","29","174","17","21.4","4.4","QB"
"28","5-K.Collins","TEN","10","-0.23","30.6","-0.02","0.10","46.2","278","160","57.6","1823","13","91","8","25.2","4.7","QB"
"29","9-T.Romo","DAL","6","-0.23","30.8","-0.04","0.13","49.0","213","148","69.5","1605","7","41","7","15.5","5.7","QB"
"30","3-M.Moore","CAR","6","-0.38","-26.2","-0.06","-0.16","43.3","143","79","55.2","857","13","90","10","25.9","2.0","QB"
"31","14-Sh.Hill","DET","11","-0.51","46.5","-0.05","0.10","47.5","416","257","61.8","2686","17","113","12","17.8","4.7","QB"
"32","14-R.Fitzpatrick","BUF","13","-0.88","11.1","-0.07","0.02","42.9","441","255","57.8","2992","23","145","15","22.0","4.7","QB"
"33","3-D.Anderson","ARZ","12","-0.89","-32.0","-0.07","-0.09","41.9","327","169","51.7","2065","25","176","10","26.0","4.1","QB"
"34","4-K.Kolb","PHI","7","-1.02","4.4","-0.15","0.02","46.0","189","115","60.8","1197","15","102","7","19.6","3.8","QB"
"35","9-C.Palmer","CIN","16","-1.11","47.5","-0.07","0.07","50.0","586","362","61.8","3970","26","201","20","17.7","4.7","QB"
"36","7-C.Henne","MIA","15","-1.28","9.2","-0.09","0.02","45.9","491","302","61.5","3298","30","178","18","17.1","4.4","QB"
"37","4-B.Favre","MIN","13","-1.55","-26.2","-0.12","-0.06","43.0","358","217","60.6","2509","21","139","19","21.2","4.0","QB"
"38","17-J.Delhomme","CLV","5","-1.83","-24.9","-0.37","-0.15","39.1","149","93","62.4","872","6","49","7","16.1","3.3","QB"
"39","2-J.Clausen","CAR","13","-1.83","-83.7","-0.14","-0.23","33.8","299","157","52.5","1558","33","223","9","16.1","2.8","QB"
