"","Player","Team","G","WPA","EPA","WPA/G","EPA/P","SR(%)","Att","Yds","YPC","RushTDs","Rec","RecYds","RecTDs","pos"
"1","25-L.McCoy","PHI","15","1.39","37.7","0.09","0.12","48.7","207","1080","5.2","7","78","592","2","RB"
"2","23-A.Foster","HST","16","1.14","52.5","0.07","0.12","45.8","326","1614","5.0","16","66","604","2","RB"
"3","25-J.Charles","KC","15","1.13","48.2","0.08","0.17","50.0","208","1290","6.2","5","41","407","3","RB"
"4","32-M.Jones-Drew","JAX","14","1.05","11.8","0.08","0.03","42.9","299","1324","4.4","5","34","317","2","RB"
"5","42-B.Green-Ellis","NE","16","1.04","28.7","0.07","0.11","48.4","229","1008","4.4","13","12","85","0","RB"
"6","39-D.Woodhead","NE","14","1.00","30.2","0.07","0.21","52.4","97","547","5.6","5","34","379","1","RB"
"7","40-P.Hillis","CLV","16","0.64","9.2","0.04","0.03","41.0","270","1177","4.4","11","61","477","2","RB"
"8","35-M.Tolbert","SD","15","0.52","9.9","0.03","0.05","46.3","182","735","4.0","11","25","216","0","RB"
"9","28-M.Morris","DET","10","0.43","0.8","0.04","0.01","40.5","90","336","3.7","5","25","170","0","RB"
"10","21-L.Tomlinson","NYJ","15","0.36","-1.0","0.02","0.00","40.4","219","914","4.2","6","52","368","0","RB"
"11","23-P.Thomas","NO","6","0.32","2.3","0.05","0.02","44.7","83","269","3.2","2","29","201","0","RB"
"12","27-K.Moreno","DEN","13","0.30","-0.7","0.02","0.00","37.9","182","779","4.3","5","37","372","3","RB"
"13","28-A.Peterson","MIN","15","0.28","-0.6","0.02","0.00","41.2","283","1298","4.6","12","36","341","1","RB"
"14","20-T.Jones","KC","16","0.27","-15.7","0.02","-0.06","35.2","245","896","3.7","6","14","122","0","RB"
"15","33-M.Turner","ATL","16","0.26","0.7","0.02","0.00","38.8","334","1371","4.1","12","12","85","0","RB"
"16","31-D.Brown","IND","13","0.25","2.0","0.02","0.01","39.0","129","497","3.9","2","20","205","0","RB"
"17","22-M.Forte","CHI","16","0.25","-5.4","0.02","-0.02","38.3","237","1069","4.5","6","51","547","3","RB"
"18","27-R.Rice","BLT","16","0.20","8.6","0.01","0.02","38.7","308","1223","4.0","5","63","556","1","RB"
"19","27-B.Jacobs","NYG","16","0.20","7.2","0.01","0.04","44.8","147","823","5.6","9","7","59","0","RB"
"20","29-C.Ivory","NO","12","0.19","13.4","0.02","0.10","46.8","137","716","5.2","5","1","17","0","RB"
"21","28-F.Jones","DAL","16","0.17","10.3","0.01","0.04","42.6","185","800","4.3","1","48","450","1","RB"
"22","34-R.Mendenhall","PIT","16","0.13","-25.7","0.01","-0.07","36.3","324","1274","3.9","13","23","167","0","RB"
"23","32-B.Jackson","GB","16","0.11","2.7","0.01","0.01","39.8","190","703","3.7","3","43","342","1","RB"
"24","29-M.Bush","OAK","14","0.10","14.3","0.01","0.08","41.7","158","655","4.1","8","18","194","0","RB"
"25","29-J.Addai","IND","8","0.10","0.0","0.01","0.00","44.1","116","495","4.3","4","19","124","0","RB"
"26","21-F.Gore","SF","11","0.06","-6.0","0.01","-0.02","41.0","203","853","4.2","3","46","452","2","RB"
"27","30-J.Kuhn","GB","15","-0.04","8.5","0.00","0.08","46.2","84","281","3.3","4","15","97","2","RB"
"28","46-R.Torain","WAS","10","-0.05","-6.7","-0.01","-0.03","39.2","164","742","4.5","4","18","125","2","RB"
"29","21-C.Spiller","BUF","14","-0.06","-8.5","0.00","-0.08","39.3","74","283","3.8","0","24","157","1","RB"
"30","28-J.Stewart","CAR","14","-0.17","-22.7","-0.01","-0.12","34.2","178","770","4.3","2","8","103","1","RB"
"31","20-B.Westbrook","SF","13","-0.18","4.9","-0.01","0.05","39.8","77","340","4.4","4","16","150","1","RB"
"32","29-C.Taylor","CHI","16","-0.23","-24.3","-0.01","-0.17","32.6","112","267","2.4","3","20","139","0","RB"
"33","39-S.Jackson","SL","16","-0.28","-23.4","-0.02","-0.06","33.2","330","1241","3.8","6","46","383","0","RB"
"34","44-A.Bradshaw","NYG","16","-0.30","-16.1","-0.02","-0.05","40.9","276","1235","4.5","8","47","314","0","RB"
"35","20-J.Forsett","SEA","16","-0.32","-7.1","-0.02","-0.04","37.6","118","523","4.4","2","33","249","0","RB"
"36","32-T.Gerhart","MIN","15","-0.33","-18.4","-0.02","-0.16","34.5","81","322","4.0","1","21","167","0","RB"
"37","23-S.Greene","NYJ","15","-0.39","3.0","-0.03","0.01","47.2","185","766","4.1","2","16","120","0","RB"
"38","24-M.Barber","DAL","13","-0.41","-13.6","-0.03","-0.10","38.6","113","374","3.3","4","11","49","0","RB"
"39","24-C.Williams","TB","16","-0.41","-16.6","-0.03","-0.09","33.7","125","437","3.5","2","46","355","1","RB"
"40","24-R.Mathews","SD","12","-0.45","-11.6","-0.04","-0.06","38.2","157","675","4.3","7","22","145","0","RB"
"41","22-F.Jackson","BUF","16","-0.46","-32.8","-0.03","-0.12","35.3","222","927","4.2","5","31","215","2","RB"
"42","23-W.McGahee","BLT","15","-0.57","-21.0","-0.04","-0.17","39.7","99","377","3.8","5","14","55","1","RB"
"43","34-R.Williams","MIA","16","-0.60","-11.9","-0.04","-0.06","39.8","159","673","4.2","2","19","141","1","RB"
"44","26-C.Wells","ARZ","13","-0.60","-9.9","-0.05","-0.08","41.3","116","397","3.4","2","5","74","0","RB"
"45","24-M.Lynch","SEA","12","-0.62","-43.2","-0.05","-0.22","36.4","165","573","3.5","6","21","138","0","RB"
"46","27-L.Blount","TB","13","-0.66","-2.6","-0.05","-0.01","35.8","201","1007","5.0","6","5","14","0","RB"
"47","34-D.Williams","CAR","6","-0.73","-9.3","-0.12","-0.09","33.0","87","361","4.1","1","11","61","0","RB"
"48","20-D.McFadden","OAK","13","-0.77","24.8","-0.06","0.08","42.7","223","1157","5.2","7","47","507","3","RB"
"49","33-M.Goodson","CAR","15","-0.95","-7.0","-0.06","-0.04","37.6","103","452","4.4","3","40","310","0","RB"
"50","32-C.Benson","CIN","16","-0.98","-45.3","-0.06","-0.12","38.7","321","1111","3.5","7","28","178","2","RB"
"51","28-C.Johnson","TEN","16","-1.01","-25.7","-0.06","-0.07","36.1","316","1364","4.3","11","44","245","1","RB"
"52","35-K.Williams","WAS","14","-1.03","-5.4","-0.07","-0.04","39.4","65","261","4.0","3","39","309","2","RB"
"53","34-T.Hightower","ARZ","16","-1.31","-30.8","-0.08","-0.15","34.8","153","736","4.8","5","21","136","0","RB"
"54","23-R.Brown","MIA","16","-1.60","-35.1","-0.10","-0.13","37.9","200","734","3.7","5","33","242","0","RB"
"55","44-J.Best","DET","15","-1.77","-22.6","-0.12","-0.09","35.2","172","563","3.3","4","58","487","2","RB"
