"","Player","Team","G","WPA","EPA","WPA/G","EPA/P","SR(%)","YPR","Rec","Yds","RecTD","Tgts","%Tgt","YPT","CR(%)","%Deep","pos"
"1","85-V.Davis","SF","16","1.72","55.8","0.11","0.57","48.0","16.3","56","914","7","93","19.1","9.8","60.2","28.0","TE"
"2","88-T.Gonzalez","ATL","16","1.49","24.2","0.09","0.21","54.3","9.4","70","656","6","109","19.0","6.0","64.2","10.1","TE"
"3","86-T.Heap","BLT","13","1.48","35.1","0.11","0.52","57.4","15.0","40","599","5","64","13.0","9.4","62.5","31.3","TE"
"4","47-C.Cooley","WAS","16","1.47","23.9","0.09","0.18","48.1","11.0","77","849","3","126","21.1","6.7","61.1","10.3","TE"
"5","85-A.Gates","SD","10","1.38","61.6","0.14","0.91","72.1","15.6","50","782","10","65","12.2","12.0","76.9","26.2","TE"
"6","85-A.Hernandez","NE","14","1.18","34.2","0.08","0.49","61.4","12.5","45","563","6","64","12.7","8.8","70.3","10.9","TE"
"7","82-J.Witten","DAL","16","1.13","41.2","0.07","0.31","57.1","10.7","94","1002","9","128","22.5","7.8","73.4","9.4","TE"
"8","87-R.Gronkowski","NE","15","0.86","42.6","0.06","0.65","60.0","13.2","41","542","10","58","11.6","9.3","70.7","29.3","TE"
"9","82-K.Winslow","TB","16","0.86","31.7","0.05","0.31","49.0","11.1","66","730","5","98","20.1","7.4","67.3","18.4","TE"
"10","88-J.Shockey","NO","13","0.85","17.9","0.07","0.30","61.0","10.0","41","409","3","59","9.1","6.9","69.5","13.6","TE"
"11","80-A.Fasano","MIA","15","0.79","28.7","0.05","0.46","54.8","13.5","39","528","4","60","10.9","8.8","65.0","13.3","TE"
"12","80-Z.Miller","OAK","15","0.78","22.3","0.05","0.23","53.5","11.4","60","685","5","92","18.9","7.4","65.2","15.2","TE"
"13","82-G.Olsen","CHI","16","0.74","12.2","0.05","0.16","50.0","9.9","41","404","5","69","15.1","5.9","59.4","26.1","TE"
"14","85-J.Dreessen","HST","15","0.73","23.7","0.05","0.42","50.9","14.4","36","517","4","55","9.7","9.4","65.5","12.7","TE"
"15","89-M.Lewis","JAX","16","0.61","14.5","0.04","0.16","52.7","12.1","58","700","10","88","19.0","8.0","65.9","15.9","TE"
"16","84-J.Tamme","IND","10","0.52","25.2","0.05","0.26","62.9","9.4","67","631","4","93","13.7","6.8","72.0","15.1","TE"
"17","84-B.Pettigrew","DET","16","0.52","17.7","0.03","0.15","51.7","10.2","71","722","4","111","17.8","6.5","64.0","9.0","TE"
"18","81-T.Moeaki","KC","15","0.51","18.2","0.03","0.24","56.0","11.8","47","556","3","73","15.9","7.6","64.4","17.8","TE"
"19","44-D.Clark","IND","6","0.39","16.4","0.07","0.31","54.7","9.4","37","347","3","53","7.8","6.5","69.8","7.5","TE"
"20","89-J.Cook","TEN","11","0.29","14.0","0.03","0.30","57.4","12.4","29","361","1","45","9.6","8.0","64.4","20.0","TE"
"21","82-B.Watson","CLV","16","0.27","14.8","0.02","0.14","52.8","11.2","68","763","3","102","21.7","7.5","66.7","17.6","TE"
"22","84-J.Gresham","CIN","15","0.17","-2.3","0.01","-0.03","49.4","9.1","52","471","4","83","14.2","5.7","62.7","6.0","TE"
"23","46-D.Fells","SL","16","0.15","8.2","0.01","0.12","48.5","9.5","41","391","2","65","11.2","6.0","63.1","7.7","TE"
"24","81-V.Shiancoe","MIN","15","0.08","3.6","0.01","0.04","45.3","11.3","47","531","2","80","15.9","6.6","58.8","21.3","TE"
"25","85-T.Scheffler","DET","15","0.07","-3.3","0.00","-0.04","48.6","8.4","45","378","1","72","11.6","5.3","62.5","8.3","TE"
"26","83-H.Miller","PIT","14","0.04","8.2","0.00","0.12","51.5","12.2","42","512","2","67","14.3","7.6","62.7","19.4","TE"
"27","81-O.Daniels","HST","11","0.00","13.4","0.00","0.19","50.0","12.4","38","471","2","68","12.0","6.9","55.9","16.2","TE"
"28","89-K.Boss","NYG","15","-0.03","-4.8","0.00","-0.06","43.2","15.2","35","531","5","70","13.1","7.6","50.0","25.7","TE"
"29","87-B.Celek","PHI","14","-0.06","18.4","0.00","0.22","47.1","12.2","42","511","4","80","14.6","6.4","52.5","23.8","TE"
"30","80-B.Scaife","TEN","13","-0.15","10.6","-0.01","0.20","44.2","8.8","36","318","4","52","11.1","6.1","69.2","13.5","TE"
"31","81-D.Keller","NYJ","15","-0.18","4.2","-0.01","0.04","44.9","12.5","55","687","5","101","19.5","6.8","54.5","20.8","TE"
"32","88-D.Rosario","CAR","15","-0.35","-15.4","-0.02","-0.28","41.1","8.4","31","261","0","53","11.3","4.9","58.5","13.2","TE"
"33","89-J.Carlson","SEA","14","-0.46","-11.4","-0.03","-0.18","36.5","10.3","31","318","1","58","10.8","5.5","53.4","20.7","TE"
