"","Player","Team","G","WPA","EPA","WPA/G","EPA/P","SR(%)","YPR","Rec","Yds","RecTD","Tgts","%Tgt","YPT","CR(%)","%Deep","pos"
"1","84-R.White","ATL","16","2.63","63.7","0.16","0.33","52.8","12.1","115","1389","10","179","31.2","7.8","64.2","25.1","WR"
"2","16-L.Moore","NO","15","1.92","62.3","0.13","0.62","60.4","11.6","66","763","8","95","14.7","8.0","69.5","15.8","WR"
"3","80-A.Johnson","HST","13","1.84","53.9","0.14","0.37","52.7","14.1","86","1216","8","138","24.4","8.8","62.3","31.2","WR"
"4","12-M.Colston","NO","15","1.77","60.2","0.12","0.43","59.7","12.2","84","1022","7","131","20.2","7.8","64.1","19.1","WR"
"5","10-D.Jackson","PHI","14","1.73","53.2","0.12","0.46","46.6","22.5","47","1056","6","96","17.5","11.0","49.0","39.6","WR"
"6","80-M.Thomas","JAX","16","1.71","42.1","0.11","0.34","54.1","12.4","66","820","4","101","21.8","8.1","65.3","29.7","WR"
"7","19-M.Austin","DAL","16","1.60","37.7","0.10","0.28","53.3","15.1","69","1041","7","119","21.0","8.7","58.0","21.0","WR"
"8","81-A.Boldin","BLT","16","1.59","28.0","0.10","0.24","50.4","13.1","64","837","7","109","22.2","7.7","58.7","30.3","WR"
"9","17-M.Wallace","PIT","16","1.58","65.5","0.10","0.60","55.0","21.0","60","1257","10","99","21.2","12.7","60.6","43.4","WR"
"10","18-K.Britt","TEN","11","1.57","55.0","0.14","0.66","55.4","18.5","42","775","9","73","15.6","10.6","57.5","42.5","WR"
"11","10-S.Holmes","NYJ","12","1.53","13.0","0.13","0.13","46.5","14.3","52","746","6","95","18.3","7.9","54.7","30.5","WR"
"12","17-B.Edwards","NYJ","16","1.53","32.9","0.10","0.30","46.3","17.1","53","904","7","101","19.5","9.0","52.5","35.6","WR"
"13","85-G.Jennings","GB","16","1.46","61.3","0.09","0.45","57.0","16.6","76","1265","12","124","23.4","10.2","61.3","35.5","WR"
"14","82-D.Bowe","KC","16","1.45","56.4","0.09","0.40","49.3","16.1","72","1162","15","133","28.9","8.7","54.1","37.6","WR"
"15","17-A.Collie","IND","9","1.33","46.9","0.15","0.62","70.7","11.2","58","649","8","72","10.6","9.0","80.6","26.4","WR"
"16","19-M.Williams","TB","16","1.25","26.3","0.08","0.19","46.3","14.9","64","955","11","128","26.3","7.5","50.0","37.5","WR"
"17","81-C.Johnson","DET","15","1.23","50.8","0.08","0.34","51.0","14.5","77","1120","12","137","22.0","8.2","56.2","34.3","WR"
"18","84-D.Branch","NE","11","1.19","47.6","0.11","0.62","59.7","14.7","48","706","5","74","14.7","9.5","64.9","23.0","WR"
"19","82-M.Manningham","NYG","16","1.07","39.9","0.07","0.40","51.0","15.7","60","944","9","92","17.2","10.3","65.2","32.6","WR"
"20","87-R.Wayne","IND","16","1.05","44.6","0.07","0.24","50.8","12.2","111","1355","6","176","25.9","7.7","63.1","29.0","WR"
"21","12-M.Jenkins","ATL","11","1.02","27.6","0.09","0.35","50.6","12.3","41","505","2","73","12.7","6.9","56.2","39.7","WR"
"22","85-D.Mason","BLT","16","1.00","39.6","0.06","0.37","56.1","13.1","61","802","7","100","20.4","8.0","61.0","31.0","WR"
"23","87-J.Nelson","GB","16","0.96","29.8","0.06","0.45","63.6","12.9","45","582","2","64","12.1","9.1","70.3","25.0","WR"
"24","86-H.Ward","PIT","16","0.95","32.6","0.06","0.32","53.9","12.8","59","755","5","93","19.9","8.1","63.4","35.5","WR"
"25","84-B.Lloyd","DEN","16","0.89","70.3","0.06","0.42","51.5","18.8","77","1448","11","153","26.5","9.5","50.3","44.4","WR"
"26","11-M.Sims-Walker","JAX","14","0.88","24.8","0.06","0.29","53.5","13.1","43","562","7","80","17.2","7.0","53.8","30.0","WR"
"27","80-E.Bennett","CHI","14","0.77","15.5","0.06","0.20","52.6","12.2","46","561","3","70","15.3","8.0","65.7","10.0","WR"
"28","17-M.Williams","SEA","13","0.75","24.1","0.06","0.21","49.6","11.6","65","751","2","110","20.5","6.8","59.1","23.6","WR"
"29","10-J.Gaffney","DEN","16","0.75","25.6","0.05","0.22","51.7","13.5","65","875","2","112","19.4","7.8","58.0","31.3","WR"
"30","83-W.Welker","NE","15","0.74","33.7","0.05","0.26","56.5","9.9","86","848","7","123","24.5","6.9","69.9","4.9","WR"
"31","12-D.Gettis","CAR","14","0.72","18.6","0.05","0.25","49.3","13.7","37","508","3","67","14.3","7.6","55.2","32.8","WR"
"32","81-J.Avant","PHI","16","0.69","36.4","0.04","0.47","64.1","11.2","51","573","1","74","13.5","7.7","68.9","21.6","WR"
"33","23-D.Hester","CHI","16","0.69","16.0","0.04","0.19","52.9","11.9","40","475","4","73","16.0","6.5","54.8","26.0","WR"
"34","82-B.Hartline","MIA","12","0.69","20.4","0.06","0.24","54.8","14.3","43","615","1","73","13.2","8.4","58.9","37.0","WR"
"35","13-A.Armstrong","WAS","15","0.67","28.4","0.04","0.30","45.7","19.8","44","871","3","86","14.4","10.1","51.2","44.2","WR"
"36","11-B.LaFell","CAR","14","0.66","10.1","0.05","0.12","42.4","12.3","38","468","1","77","16.5","6.1","49.4","26.0","WR"
"37","88-H.Nicks","NYG","13","0.65","47.1","0.05","0.34","56.5","13.3","79","1052","11","128","24.0","8.2","61.7","32.8","WR"
"38","18-J.Maclin","PHI","16","0.57","39.2","0.04","0.31","55.1","13.8","70","964","10","115","20.9","8.4","60.9","32.2","WR"
"39","15-S.Breaston","ARZ","12","0.55","36.4","0.05","0.39","51.1","15.3","47","718","1","87","15.9","8.3","54.0","39.1","WR"
"40","12-P.Harvin","MIN","14","0.54","36.9","0.04","0.28","51.1","12.3","71","871","5","109","21.7","8.0","65.1","20.2","WR"
"41","89-S.Moss","WAS","16","0.49","16.8","0.03","0.11","54.8","12.0","93","1115","6","145","24.3","7.7","64.1","20.7","WR"
"42","12-J.Jones","HST","15","0.49","19.1","0.03","0.23","50.0","11.0","51","562","3","78","13.8","7.2","65.4","9.0","WR"
"43","18-L.Murphy","OAK","14","0.46","26.6","0.03","0.30","46.1","14.9","41","609","2","78","16.0","7.8","52.6","37.2","WR"
"44","15-M.Crabtree","SF","16","0.45","11.6","0.03","0.11","49.1","13.5","55","741","6","101","20.7","7.3","54.5","24.8","WR"
"45","89-J.Jones","GB","16","0.44","24.3","0.03","0.27","53.9","13.6","50","679","5","87","16.4","7.8","57.5","32.2","WR"
"46","80-M.Floyd","SD","11","0.43","23.7","0.04","0.30","48.8","19.4","37","717","6","77","14.5","9.3","48.1","51.9","WR"
"47","13-St.Johnson","BUF","16","0.39","31.4","0.02","0.21","51.4","13.1","82","1073","10","142","27.7","7.6","57.7","20.4","WR"
"48","13-N.Burleson","DET","14","0.38","20.1","0.03","0.20","49.5","11.4","55","625","6","86","13.8","7.3","64.0","20.9","WR"
"49","84-J.Morgan","SF","16","0.37","20.5","0.02","0.24","51.2","15.9","44","698","2","80","16.4","8.7","55.0","31.3","WR"
"50","11-B.Gibson","SL","14","0.37","9.6","0.03","0.10","47.5","11.7","53","620","2","91","15.6","6.8","58.2","18.7","WR"
"51","11-D.Butler","SEA","13","0.33","3.4","0.03","0.05","39.5","10.7","36","385","4","70","13.0","5.5","51.4","30.0","WR"
"52","13-J.Knox","CHI","16","0.31","23.7","0.02","0.23","50.5","18.8","51","960","5","99","21.7","9.7","51.5","39.4","WR"
"53","11-J.Shipley","CIN","15","0.27","30.0","0.02","0.38","57.5","11.5","52","600","3","74","12.6","8.1","70.3","12.2","WR"
"54","83-K.Walter","HST","14","0.25","39.2","0.02","0.45","61.4","12.2","51","621","5","80","14.1","7.8","63.8","23.8","WR"
"55","16-D.Amendola","SL","16","0.19","12.9","0.01","0.09","56.1","8.1","85","689","3","123","21.1","5.6","69.1","5.7","WR"
"56","12-S.Smith","NYG","9","0.15","17.9","0.02","0.22","55.4","11.0","48","529","3","75","14.0","7.1","64.0","32.0","WR"
"57","89-J.Cotchery","NYJ","13","0.15","2.2","0.01","0.02","41.9","10.6","41","433","2","86","16.6","5.0","47.7","24.4","WR"
"58","11-L.Fitzgerald","ARZ","16","0.06","3.2","0.00","0.02","45.3","12.6","90","1137","6","173","31.6","6.6","52.0","33.5","WR"
"59","19-B.Marshall","MIA","14","0.03","13.6","0.00","0.09","50.7","11.8","86","1014","3","146","26.4","6.9","58.9","26.7","WR"
"60","80-D.Driver","GB","15","-0.03","6.1","0.00","0.07","43.7","11.1","51","565","4","86","16.3","6.6","59.3","22.1","WR"
"61","83-L.Evans","BUF","12","-0.10","4.4","-0.01","0.05","40.0","15.6","37","578","4","83","16.2","7.0","44.6","45.8","WR"
"62","85-P.Garcon","IND","14","-0.19","29.6","-0.01","0.24","53.7","11.7","67","784","6","118","17.4","6.6","56.8","26.3","WR"
"63","88-D.Bryant","DAL","12","-0.19","28.0","-0.02","0.35","47.5","12.5","45","561","6","72","12.7","7.8","62.5","30.6","WR"
"64","85-C.Ochocinco","CIN","14","-0.23","30.3","-0.02","0.22","53.6","12.4","67","831","4","126","21.5","6.6","53.2","27.0","WR"
"65","89-S.Smith","CAR","14","-0.29","-16.2","-0.02","-0.15","41.0","12.0","46","554","2","99","21.2","5.6","46.5","23.2","WR"
"66","19-E.Royal","DEN","16","-0.30","4.2","-0.02","0.03","43.8","10.6","59","627","3","105","18.2","6.0","56.2","15.2","WR"
"67","15-D.Bess","MIA","16","-0.36","10.1","-0.02","0.08","50.0","10.2","80","817","5","126","22.8","6.5","63.5","11.9","WR"
"68","85-N.Washington","TEN","16","-0.41","1.4","-0.03","0.01","42.0","16.4","42","687","6","94","20.1","7.3","44.7","42.6","WR"
"69","11-M.Massaquoi","CLV","15","-0.56","-16.0","-0.04","-0.20","41.8","13.4","36","483","2","74","15.8","6.5","48.6","28.4","WR"
"70","81-T.Owens","CIN","13","-0.60","-7.4","-0.05","-0.05","47.6","13.7","72","983","9","139","23.7","7.1","51.8","31.7","WR"
"71","83-C.Stuckey","CLV","15","-0.67","-14.3","-0.04","-0.20","37.1","8.7","40","346","0","63","13.4","5.5","63.5","12.7","WR"
