"Player","Position","Team","Order"
"AdrianPeterson","RB","MIN",1
"ArianFoster","RB","HOU",2
"AaronRodgers","QB","GB",3
"LeSeanMcCoy","RB","PHI",4
"AndreJohnson","WR","HOU",5
"JamaalCharles","RB","KC",6
"ChrisJohnson","RB","TEN",7
"RayRice","RB","BAL",8
"MichaelVick","QB","PHI",9
"RashardMendenhall","RB","PIT",10
"TomBrady","QB","NE",11
"VincentJackson","WR","SD",12
"StevenJackson","RB","STL",13
"DarrenMcFadden","RB","OAK",14
"GregJennings","WR","GB",15
"HakeemNicks","WR","NYG",16
"LarryFitzgerald","WR","ARI",17
"RoddyWhite","WR","ATL",18
"CalvinJohnson","WR","DET",19
"MauriceJones-Drew","RB","JAC",20
"MichaelTurner","RB","ATL",21
"FrankGore","RB","SF",22
"PeytonHillis","RB","CLE",23
"DeSeanJackson","WR","PHI",24
"ReggieWayne","WR","IND",25
"LeGarretteBlount","RB","TB",26
"PhilipRivers","QB","SD",27
"MattForte","RB","CHI",28
"MilesAustin","WR","DAL",29
"DrewBrees","QB","NO",30
"ChadOchocinco","WR","NE",31
"PeytonManning","QB","IND",32
"DezBryant","WR","DAL",33
"BrandonMarshall","WR","MIA",34
"FelixJones","RB","DAL",35
"MikeWallace","WR","PIT",36
"AhmadBradshaw","RB","NYG",37
"JahvidBest","RB","DET",38
"AntonioGates","TE","SD",39
"MikeWilliams","WR","TB",40
"BrandonLloyd","WR","DEN",41
"SteveJohnson","WR","BUF",42
"DwayneBowe","WR","KC",43
"JermichaelFinley","TE","GB",44
"JasonWitten","TE","DAL",45
"TonyRomo","QB","DAL",46
"WesWelker","WR","NE",47
"KnowshonMoreno","RB","DEN",48
"ShonnGreene","RB","NYJ",49
"MarquesColston","WR","NO",50
"MarioManningham","WR","NYG",51
"DallasClark","TE","IND",52
"JimmyGraham","TE","NO",53
"SantonioHolmes","WR","NYJ",54
"MarkIngram","RB","NO",55
"CedricBenson","RB","CIN",56
"DeAngeloWilliams","RB","CAR",57
"PercyHarvin","WR","MIN",58
"RyanMathews","RB","SD",59
"RyanGrant","RB","GB",60
"VernonDavis","TE","SF",61
"BeanieWells","RB","ARI",62
"AustinCollie","WR","IND",63
"TimHightower","RB","WAS",64
"BenRoethlisberger","QB","PIT",65
"PlaxicoBurress","WR","NYJ",66
"AnquanBoldin","WR","BAL",67
"JeremyMaclin","WR","PHI",68
"DanielThomas","RB","MIA",69
"TonyGonzalez","TE","ATL",70
"FredJackson","RB","BUF",71
"JosephAddai","RB","IND",72
"BenJarvusGreen-Ellis","RB","NE",73
"MattSchaub","QB","HOU",74
"GreenBayDefenseD","EF","GB",75
"MarshawnLynch","RB","SEA",76
"OwenDaniels","TE","HOU",77
"PittsburghDefenseD","EF","PIT",78
"PierreGarcon","WR","IND",79
"KennyBritt","WR","TEN",80
"ReggieBush","RB","MIA",81
"MattRyan","QB","ATL",82
"MikeTolbert","RB","SD",83
"NYJetsDefenseD","EF","NYJ",84
"PierreThomas","RB","NO",85
"MarcedesLewis","TE","JAC",86
"SidneyRice","WR","SEA",87
"MikeSims-Walker","WR","STL",88
"JulioJones","WR","ATL",89
"MalcomFloyd","WR","SD",90
"SantanaMoss","WR","WAS",91
"BrandonJacobs","RB","NYG",92
"JoshFreeman","QB","TB",93
"SteveSmith","WR","CAR",94
"LaDainianTomlinson","RB","NYJ",95
"SamBradford","QB","STL",96
"JonathanStewart","RB","CAR",97
"KellenWinslow","TE","TB",98
"BaltimoreDefenseD","EF","BAL",99
"PhiladelphiaDefenseD","EF","PHI",100
"MatthewStafford","QB","DET",101
"MikeThomas","WR","JAC",102
"BraylonEdwards","WR","SF",103
"MichaelBush","RB","OAK",104
"HinesWard","WR","PIT",105
"JohnnyKnox","WR","CHI",106
"KevinKolb","QB","ARI",107
"A.J.Green","WR","CIN",108
"EliManning","QB","NYG",109
"JoeFlacco","QB","BAL",110
"RoyWilliams","WR","CHI",111
"RobertMeachem","WR","NO",112
"DannyAmendola","WR","STL",113
"JacobyFord","WR","OAK",114
"JordyNelson","WR","GB",115
"LanceMoore","WR","NO",116
"NewEnglandDefenseD","EF","NE",117
"JayCutler","QB","CHI",118
"BenTate","RB","HOU",119
"MichaelCrabtree","WR","SF",120
"ChicagoDefenseD","EF","CHI",121
"NewOrleansDefenseD","EF","NO",122
"DonovanMcNabb","QB","MIN",123
"MattCassel","QB","KC",124
"KyleOrton","QB","DEN",125
"DonaldDriver","WR","GB",126
"SteveSmith","WR","PHI",127
"CamNewton","QB","CAR",128
"RobGronkowski","TE","NE",129
"RoyHelu","RB","WAS",130
"JamesStarks","RB","GB",131
"AntonioBrown","WR","PIT",132
"SanFranciscoDefenseD","EF","SF",133
"RashadJennings","RB","JAC",134
"GregLittle","WR","CLE",135
"DetroitDefenseD","EF","DET",136
"DeionBranch","WR","NE",137
"NateKaeding","PK","SD",138
"LeeEvans","WR","BAL",139
"ZachMiller","TE","SEA",140
"NateBurleson","WR","DET",141
"MasonCrosby","PK","GB",142
"ThomasJones","RB","KC",143
"SteveBreaston","WR","KC",144
"C.J.Spiller","RB","BUF",145
"DannyWoodhead","RB","NE",146
"BrentCelek","TE","PHI",147
"MikeWilliams","WR","SEA",148
"WillisMcGahee","RB","DEN",149
"RonnieBrown","RB","PHI",150
"ArianFoster","RB","HOU",1
"AdrianPeterson","RB","MIN",2
"JamaalCharles","RB","KC",3
"RayRice","RB","BAL",4
"MichaelVick","QB","PHI",5
"DeSeanJackson","WR","PHI",6
"LeSeanMcCoy","RB","PHI",7
"ChrisJohnson","RB","TEN",8
"RashardMendenhall","RB","PIT",9
"MauriceJones-Drew","RB","JAC",10
"GregJennings","WR","GB",11
"VincentJackson","WR","SD",12
"RoddyWhite","WR","ATL",13
"HakeemNicks","WR","NYG",14
"LarryFitzgerald","WR","ARI",15
"AhmadBradshaw","RB","NYG",16
"CalvinJohnson","WR","DET",17
"AaronRodgers","QB","GB",18
"AndreJohnson","WR","HOU",19
"DarrenMcFadden","RB","OAK",20
"StevenJackson","RB","STL",21
"MichaelTurner","RB","ATL",22
"MikeWallace","WR","PIT",23
"FrankGore","RB","SF",24
"LeGarretteBlount","RB","TB",25
"PercyHarvin","WR","MIN",26
"TomBrady","QB","NE",27
"MattForte","RB","CHI",28
"PhilipRivers","QB","SD",29
"MilesAustin","WR","DAL",30
"DezBryant","WR","DAL",31
"PeytonManning","QB","IND",32
"MikeWilliams","WR","TB",33
"DrewBrees","QB","NO",34
"AntonioGates","TE","SD",35
"BraylonEdwards","WR","SF",36
"PeytonHillis","RB","CLE",37
"DwayneBowe","WR","KC",38
"ShonnGreene","RB","NYJ",39
"ReggieWayne","WR","IND",40
"JahvidBest","RB","DET",41
"WesWelker","WR","NE",42
"FelixJones","RB","DAL",43
"SantonioHolmes","WR","NYJ",44
"RyanMathews","RB","SD",45
"MattRyan","QB","ATL",46
"VernonDavis","TE","SF",47
"KnowshonMoreno","RB","DEN",48
"JermichaelFinley","TE","GB",49
"DeAngeloWilliams","RB","CAR",50
"MattSchaub","QB","HOU",51
"BenJarvusGreen-Ellis","RB","NE",52
"RyanGrant","RB","GB",53
"JasonWitten","TE","DAL",54
"MarquesColston","WR","NO",55
"CedricBenson","RB","CIN",56
"ChadOchocinco","WR","NE",57
"BrandonMarshall","WR","MIA",58
"BrandonLloyd","WR","DEN",59
"DallasClark","TE","IND",60
"AustinCollie","WR","IND",61
"MarioManningham","WR","NYG",62
"BenRoethlisberger","QB","PIT",63
"MarkIngram","RB","NO",64
"DanielThomas","RB","MIA",65
"OwenDaniels","TE","HOU",66
"JulioJones","WR","ATL",67
"JeremyMaclin","WR","PHI",68
"MikeTolbert","RB","SD",69
"SteveJohnson","WR","BUF",70
"TonyRomo","QB","DAL",71
"JimmyGraham","TE","NO",72
"SidneyRice","WR","SEA",73
"PlaxicoBurress","WR","NYJ",74
"AnquanBoldin","WR","BAL",75
"BeanieWells","RB","ARI",76
"MarshawnLynch","RB","SEA",77
"TonyGonzalez","TE","ATL",78
"ReggieBush","RB","MIA",79
"KennyBritt","WR","TEN",80
"PittsburghDefenseD","EF","PIT",81
"TimHightower","RB","WAS",82
"MalcomFloyd","WR","SD",83
"PierreGarcon","WR","IND",84
"PhiladelphiaDefenseD","EF","PHI",85
"JosephAddai","RB","IND",86
"MikeSims-Walker","WR","STL",87
"FredJackson","RB","BUF",88
"SteveSmith","WR","CAR",89
"JoshFreeman","QB","TB",90
"ZachMiller","TE","SEA",91
"HinesWard","WR","PIT",92
"RobGronkowski","TE","NE",93
"BaltimoreDefenseD","EF","BAL",94
"MikeThomas","WR","JAC",95
"SamBradford","QB","STL",96
"JonathanStewart","RB","CAR",97
"GreenBayDefenseD","EF","GB",98
"NYJetsDefenseD","EF","NYJ",99
"MatthewStafford","QB","DET",100
"LaDainianTomlinson","RB","NYJ",101
"EliManning","QB","NYG",102
"PierreThomas","RB","NO",103
"BrandonJacobs","RB","NYG",104
"A.J.Green","WR","CIN",105
"MichaelCrabtree","WR","SF",106
"ChicagoDefenseD","EF","CHI",107
"SantanaMoss","WR","WAS",108
"RoyWilliams","WR","CHI",109
"C.J.Spiller","RB","BUF",110
"LeeEvans","WR","BAL",111
"DannyAmendola","WR","STL",112
"KyleOrton","QB","DEN",113
"JoeFlacco","QB","BAL",114
"WillisMcGahee","RB","DEN",115
"NewEnglandDefenseD","EF","NE",116
"JohnnyKnox","WR","CHI",117
"JayCutler","QB","CHI",118
"JacobyFord","WR","OAK",119
"JamesStarks","RB","GB",120
"JordyNelson","WR","GB",121
"DetroitDefenseD","EF","DET",122
"NewOrleansDefenseD","EF","NO",123
"LanceMoore","WR","NO",124
"KevinKolb","QB","ARI",125
"DeionBranch","WR","NE",126
"DonovanMcNabb","QB","MIN",127
"ThomasJones","RB","KC",128
"MattCassel","QB","KC",129
"AaronHernandez","TE","NE",130
"DonaldDriver","WR","GB",131
"BrandonPettigrew","TE","DET",132
"VisantheShiancoe","TE","MIN",133
"BrentCelek","TE","PHI",134
"KellenWinslow","TE","TB",135
"EmmanuelSanders","WR","PIT",136
"MarcedesLewis","TE","JAC",137
"SteveSmith","WR","PHI",138
"MichaelBush","RB","OAK",139
"NYGiantsDefenseD","EF","NYG",140
"RyanTorain","RB","WAS",141
"DannyWoodhead","RB","NE",142
"RonnieBrown","RB","PHI",143
"MikeWilliams","WR","SEA",144
"SteveBreaston","WR","KC",145
"RoyHelu","RB","WAS",146
"NateBurleson","WR","DET",147
"MasonCrosby","PK","GB",148
"RobertMeachem","WR","NO",149
"StephenGostkowski","PK","NE",150
"AdrianPeterson","RB","MIN",1
"JamaalCharles","RB","KC",2
"ArianFoster","RB","HOU",3
"RayRice","RB","BAL",4
"MichaelVick","QB","PHI",5
"ChrisJohnson","RB","TEN",6
"AndreJohnson","WR","HOU",7
"LeSeanMcCoy","RB","PHI",8
"RoddyWhite","WR","ATL",9
"DarrenMcFadden","RB","OAK",10
"StevenJackson","RB","STL",11
"GregJennings","WR","GB",12
"HakeemNicks","WR","NYG",13
"VincentJackson","WR","SD",14
"RashardMendenhall","RB","PIT",15
"MauriceJones-Drew","RB","JAC",16
"MichaelTurner","RB","ATL",17
"LarryFitzgerald","WR","ARI",18
"AaronRodgers","QB","GB",19
"CalvinJohnson","WR","DET",20
"MikeWallace","WR","PIT",21
"FrankGore","RB","SF",22
