"Player","Position","Team","Mean","StdDev","Freq","MAD","Median"
"ArianFoster","RB","HOU",1.83233532934132,0.846068753311066,1,1.4826,2
"AdrianPeterson","RB","MIN",2,1.12782977438973,1,1.4826,2
"JamaalCharles","RB","KC",3.61077844311377,1.44020956558911,1,1.4826,4
"RayRice","RB","BAL",3.98802395209581,1.75267118633963,1,1.4826,4
"ChrisJohnson","RB","TEN",6.54491017964072,1.0828107137982,1,1.4826,6
"LeSeanMcCoy","RB","PHI",6.89820359281437,1.5124869475361,1,1.4826,7
"MichaelVick","QB","PHI",7.23952095808383,4.45269749366155,1,2.9652,7
"AndreJohnson","WR","HOU",9.04191616766467,5.25283157172949,1,2.9652,7
"RashardMendenhall","RB","PIT",9.86826347305389,3.76066626788966,1,1.4826,9
"AaronRodgers","QB","GB",13.1137724550898,5.73140732631347,1,5.9304,16
"VincentJackson","WR","SD",14.1616766467066,2.54633233950982,1,2.9652,14
"MauriceJones-Drew","RB","JAC",14.2395209580838,3.82498561697425,1,2.9652,15
"HakeemNicks","WR","NYG",15.1916167664671,4.00988897362986,1,2.9652,13
"DarrenMcFadden","RB","OAK",15.4251497005988,3.49755432088551,1,4.4478,16
"LarryFitzgerald","WR","ARI",16.1137724550898,1.88918764026228,1,1.4826,17
"RoddyWhite","WR","ATL",16.1197604790419,2.99359795939852,1,1.4826,17
"CalvinJohnson","WR","DET",16.5089820359281,4.15239920548069,1,1.4826,19
"MichaelTurner","RB","ATL",17.814371257485,3.37394028605905,1,2.9652,19
"StevenJackson","RB","STL",18.2934131736527,5.79169547947284,1,8.8956,21
"GregJennings","WR","GB",18.748502994012,5.4494607764889,1,8.8956,21
"FrankGore","RB","SF",19.185628742515,4.90341442811968,1,5.9304,22
"DeSeanJackson","WR","PHI",19.2335329341317,6.91688898952507,1,4.4478,22
"TomBrady","QB","NE",19.6766467065868,8.59367404158048,1,14.826,22
"MattForte","RB","CHI",25.562874251497,6.09085699406542,1,2.9652,27
"MikeWallace","WR","PIT",25.6407185628743,6.65632471283025,1,1.4826,24
"PeytonHillis","RB","CLE",26.6526946107784,6.91340276018625,1,4.4478,26
"PhilipRivers","QB","SD",28.1616766467066,4.32432750647237,1,2.9652,27
"LeGarretteBlount","RB","TB",29.7664670658683,4.0069131876562,1,1.4826,29
"MilesAustin","WR","DAL",29.9820359281437,5.09172629338092,1,2.9652,27
"AhmadBradshaw","RB","NYG",31.562874251497,6.39550927777888,1,4.4478,34
"ReggieWayne","WR","IND",32.8622754491018,6.74914765077606,1,7.413,36
"DrewBrees","QB","NO",32.9880239520958,5.47940291340445,1,5.9304,34
"DwayneBowe","WR","KC",34.4491017964072,3.83039217203888,1,2.9652,34
"FelixJones","RB","DAL",34.6766467065868,4.79408317960109,1,7.413,35
"AntonioGates","TE","SD",36.0299401197605,4.83167691349568,1,4.4478,38
"DezBryant","WR","DAL",36.5988023952096,4.43494290412788,1,4.4478,35
"ShonnGreene","RB","NYJ",36.8622754491018,6.70007417958757,1,5.9304,38
"MikeWilliams","WR","TB",37.1437125748503,5.8790565050203,1,5.9304,37
"JahvidBest","RB","DET",37.4730538922156,4.85074967969796,1,5.9304,37
"PeytonManning","QB","IND",40.4311377245509,6.27708120888953,1,2.9652,42
"BrandonMarshall","WR","MIA",42.6167664670659,10.7853993121884,1,17.7912,44
"WesWelker","WR","NE",43.311377245509,4.10741406476157,1,2.9652,42
"JermichaelFinley","TE","GB",45.4491017964072,6.89578887377048,1,7.413,44
"KnowshonMoreno","RB","DEN",46.7544910179641,6.07894767130127,1,4.4478,48
"DeAngeloWilliams","RB","CAR",47.2035928143713,8.31423280079817,1,10.3782,47
"TonyRomo","QB","DAL",47.2215568862275,11.2933969367617,1,10.3782,45
"JasonWitten","TE","DAL",49.1077844311377,7.12883996744471,1,7.413,52
"RyanMathews","RB","SD",50.059880239521,7.86793538265464,1,7.413,50
"MarquesColston","WR","NO",50.0838323353293,4.97241974131633,1,5.9304,50
"DallasClark","TE","IND",50.2694610778443,6.61401886215802,1,4.4478,49
"ChadOchocinco","WR","NE",50.4071856287425,8.22616972007465,1,7.413,53
"SantonioHolmes","WR","NYJ",50.9161676646707,8.95482875792901,1,8.8956,54
"MarkIngram","RB","NO",52.6107784431138,8.25870471640767,1,8.8956,55
"VernonDavis","TE","SF",53.5688622754491,6.55391093187831,1,7.413,56
"BrandonLloyd","WR","DEN",54.3173652694611,7.72820016849404,1,4.4478,58
"SteveJohnson","WR","BUF",55.3173652694611,8.18150828663709,1,7.413,56
"MarioManningham","WR","NYG",58.0059880239521,8.6056937007923,1,7.413,56
"PercyHarvin","WR","MIN",58.5269461077844,10.8658074920868,1,2.9652,62
"MattRyan","QB","ATL",59.8982035928144,10.339420523727,1,11.8608,57
"RyanGrant","RB","GB",60.3892215568862,8.2266763393739,1,8.8956,60
"MattSchaub","QB","HOU",62,11.1547299384611,1,13.3434,60
"AnquanBoldin","WR","BAL",63.6347305389222,10.0096109503439,1,8.8956,61
"CedricBenson","RB","CIN",64.125748502994,9.50274463976712,1,14.826,66
"BeanieWells","RB","ARI",64.4491017964072,10.9087077232648,1,14.826,62
"JeremyMaclin","WR","PHI",64.8982035928144,8.1400010298812,1,7.413,63
