#,INCIDENT TITLE,INCIDENT DATE,LOCATION,DESCRIPTION,LATITUDE,LONGITUDE,APPROVED,VERIFIED,CATEGORY,CATEGORY_DESC
422,Sodium hypochlorite generator,1/15/10 6:32,"(19.665576°, -72.675072°)",Sodium hypochlorite generators – have the capacity to produce about 133 L of 0.6% sodium hypochlorite solution per 8 hour batch (100 g equivalent chlorine per hour); each 7 ml of solution treats 20 L of water,19.665641,-72.674264,1,0,4e,Water sanitation and hygiene promotion
419,Sodium hypochlorite generator,1/15/10 6:28,"(19.759054°, -72.784971°)",Sodium hypochlorite generators – have the capacity to produce about 133 L of 0.6% sodium hypochlorite solution per 8 hour batch (100 g equivalent chlorine per hour); each 7 ml of solution treats 20 L of water,19.759645,-72.78489,1,0,4e,Water sanitation and hygiene promotion
283,trapped in house,1/14/10 1:30,"#40 Rue O, Turgeau","Heloise Boyer is trapped in her house #40 Rue O, Turgeau",18.534237,-72.331555,1,0,1,Emergency
221,MISSING PERSON: George Sada,1/14/10 3:11,"#8 rue merisier prolonge, musseau","Hello, I am looking for my father George Sada. He lives at #8 Rue Merisier Prolonge in Musseau. We can not contact him to see if he is still ok. We heard a hotel at the end of the block has collapsed but we do not know if there are any people caught in it. His phone numbers are 37580529, 34063989, 37825682, 37168046, 35834593, 35520780. Please help us. 
Christine Evans kiki@fourpirates.com 847 2771384, 8479175546",18.536258,-72.295747,1,0,1a,Collapsed structure
144,"National Cathedral Collapsed (aka Sacre Cour, Notre Dame)",1/14/10 12:43,"+18° 32' 56.00&quot;, -72° 20' 19.00&quot;",National Cathedral Collapsed,18.547924,-72.340224,1,0,1a,Collapsed structure
286,Person trapped,1/14/10 10:42,"17 Rue lafleur duchene, Port au Prince Haiti","I'm McArthur Leger. We have a cousin trapped in a house: 17, Rue lafleurduchene, Port au Prince Haiti",18.53377,-72.337005,1,0,1c,People trapped
11,Haiti: Earthquake - Jan 2010 / SiRep,1/12/10 4:53,"17km south-west of Port-au-Prince (18.45N, 72.45W)","This report was issued by the Office of the Coordination for Humanitarian Affairs in New York. The next report will be issued on or around 13 January 2010.
A powerful earthquake of 7.0 magnitude (USGS) on the Richter Scale affected Haiti on 12 January, at 16.53hrs local time (GMT 21.53hrs). The earthquake happened 17km south-west of Port-au-Prince, the capital of Haiti (18.45N, 72.45W). Initial reports suggest a high number of casualties and widespread damage, with an urgent need for Search and Rescue.
A United Nations Disaster and Assessment coordination Team (UNDAC) is being mobilized.                               II. Situation Overview
On Tuesday 12 January, at approximately 16.53hrs local time, a 7.0 magnitude earthquake on the Richter
Scale, and less than 10 km deep, was recorded off the coast of Haiti, and only 17 km from the capital, Port-
au-Prince. Aftershocks have been felt measuring 5.9 and 5.5 respectively. More aftershocks are expected in
the coming hours.
The mission of the United Nations Office for the Coordination of Humanitarian Affairs (OCHA) is to mobilize and coordinate effective and
principled humanitarian action in partnership with national and international actors.
The capital of Haiti, Port-au-Prince, has been severely affected including critical city infrastructure
components such as, electricity, water and phone services. Electricity is not available and communications
are difficult. Initial reports indicate a large number of casualties and widespread damage.
At this stage there is very limited access because of debris and other obstacles on the roads. The airport of
Port-au-Prince is reported to be closed. The Presidential Palace and Government buildings are reported to
have been seriously damaged. According to preliminary reports, several UN and well as other national
buildings have collapsed or have been damaged. Populations may also be affected in Carrefour and Jacmel. 
United Nations agencies, as well as the International Federation of the Red Cross and Red Crescent Society
are preparing the deployment of teams and humanitarian assistance, notably from their regional hub in
Panama. USAID/OFDA is sending a response team in addition to 2 USAR (Urban Search and Rescue) heavy
teams.
OCHA is mobilizing a United Nations Disaster and Assessment Coordination Team (UNDAC) and is
deploying staff from its Regional Office in Panama.
There has been no immediate report of damage in Cuba and the Dominican Republic. Tsunami alerts were
lifted, including for Haiti.
III. Humanitarian Needs and Response
Evacuation of injured, medical supplies and expertise are needed. Also clean water may be urgently needed
very soon.
IV. Funding
All humanitarian partners including donors and recipient agencies are encouraged to inform FTS of cash and
in-kind contributions by sending an email to: fts@reliefweb.int.
V. Contact
Please contact:
New York: Ms. Stephanie Bunker, Spokesperson and Public Information Officer
bunker@un.org, tel: 1 917 367 5126
Geneva: Mr. Peter Neussl, Humanitarian Affairs Officer, Geographical Coordination and Monitoring Section
neussl@un.org, tel. + 41 22 917 1511
New York: Ms.Heidi Kuttab, Desk Officer, Coordination and Response Division
kuttab@un.org, tel. + 1 917367 33 65
For more information, please visit www.reliefweb.int.",18.484819,-72.336731,1,0,1e,Earthquake and aftershocks
416,"Four drums in Fonds Verettes (18.394408°, -71.852375°)",1/15/10 1:12,"18.394408°, -71.852375°","0.6% sodium hypochlorite solution in 55-gallon drums, all unconfirmed at location, used for purifying water",18.39716,-71.852686,1,1,4d,Food distribution
390,Road from Leogane to Jacmel blocked by landslides,1/15/10 3:30,18°23.938’ -72°38.277’,The road from Leogane to Jacmel blocked with landslides at 18°23.938’ -72°38.277’ (just north of the turn off to Trouin and Baudin) and is passable only on foot or moto.  Transporting gas beyond that point will become very difficult until this is resolved.,18.400261,-72.639665,1,1,3b,Road blocked
156,St. Gerard Church collapse,1/14/10 1:27,18°31'45&quot;N   72°20'22&quot;W,St. Gerard church is collapsed,18.527235,-72.338513,1,0,1a,Collapsed structure
426,Aid Delivered to Port-au-Prince Airport,1/15/10 6:32,"18°34'47 N, 72°17'34 W","U.S. established an air link to the airport after fixing the traffic control tower.  Will send - over multiple shipments - enough food for 1.2 million people over 2 weeks, specifically 14,550 tons of food (7k rice, 4,500 corn-soy blend, 3k vegetable oil) to be distributed by UN and private orgs.",18.579721,-72.292778,0,0,4d,Food distribution
5,Port-au-Prince air traffic control tower damaged - flights rerouted,1/12/10 4:08,18°34′48″N 72°17′33″W,"NBC reports Port-au-Prince air traffic control tower has been severely damaged, resulting in re-routing of flights by other Haitian air traffic facilities. May contextualize conflicting reports of 1) airport closure and 2) incidence of aircraft take-off.",18.579721,-72.292778,1,0,2a,Structures at risk
282,Ministry of Justice/Palais de Justice building destroyed,1/14/10 1:26,"19 Avenue Charles Sumner - Port-au-Prince, HAITI",Ministry of Justice building among those destroyed,18.539269,-72.336408,1,1,1a,Collapsed structure
407,"Half of a drum in Tibo (19.634100°, -72.229517°)",1/15/10 1:07,"19.634100°, -72.229517°","0.6% sodium hypochlorite solution in 55-gallon drums, all unconfirmed at location, used for purifying water",19.632749,-72.232678,1,1,3a,Water shortage
418,Available: Sodium hypochlorite generator,1/15/10 6:13,"19.759054°, -72.784971°",Sodium hypochlorite generators – have the capacity to produce about 133 L of 0.6% sodium hypochlorite solution per 8 hour batch (100 g equivalent chlorine per hour); each 7 ml of solution treats 20 L of water,19.759645,-72.78489,1,0,4e,Water sanitation and hygiene promotion
247,Canadeau and Saint Francois d'Assise destroyed,1/14/10 1:33,"20 Rue 4, port au prince, haiti","I know that Sacre Coeur, Canadeau and Saint Francois D'assiae are gone Rue 4 or Rue 6, #20, Ville de PaP, Haiti",18.53056,-72.334424,1,0,1,Emergency
208,Missing 5 years old Haiti,1/14/10 3:22,"233 Rue Macajoux, Bel-air Port-au-Prince, Haiti","Name: Jaamiyl Ryan Jean-Baptiste
Age: 5
Georgy Jean-Baptiste and Terese Jean-Baptiste maybe with him. father and grandmother. Family in Bostn is Looking for Him. He is a U.S. Citizen.",18.539269,-72.336408,1,0,6,Persons News
168,Violene Gabriel,1/14/10 1:51,"26 Avenue de Marguerites, Port au-Prince, Haiti","Missing person, @lydc29 is looking for Violene Gabriel last known location 26 Avenue de Marguerites, l'ouest de Port au-Prince",18.539269,-72.336408,1,0,6b,Missing Persons
358,EVEILLARD Family,1/15/10 7:43,285 Av John brown,"I am looking for my cousins, the EVEILLARD Family :
- Riky Serge (Pouchon) 30 years old
- Marsha Valentina  19 years old
- Merline (Minouche)  30 years old
- Aliette (Kayoute) 32 years old
- Patricia 33 years old
They were living 
285 Av John brown (corner LALUE and MARTIN LUTHER KING) 
Béatrice Rémy",18.53878,-72.322354,1,0,6,Persons News
