SOURCE_ID, COMMODITY_DESC, GEOGRAPHY_DESC, ATTRIBUTE_DESC, UNIT_DESC, YEAR_ID, TIMEPERIOD_ID, TIMEPERIOD_DESC, AMOUNT
116,"Bedding and litter","California ","Operating costs","dollars per cwt",2006,1,"Jan",0.04
116,"Bedding and litter","California ","Operating costs","dollars per cwt",2006,2,"Feb",0.04
116,"Bedding and litter","California ","Operating costs","dollars per cwt",2006,3,"Mar",0.04
116,"Bedding and litter","California ","Operating costs","dollars per cwt",2006,4,"Apr",0.04
116,"Bedding and litter","California ","Operating costs","dollars per cwt",2006,5,"May",0.04
116,"Bedding and litter","California ","Operating costs","dollars per cwt",2006,6,"Jun",0.04
116,"Bedding and litter","California ","Operating costs","dollars per cwt",2006,7,"Jul",0.04
116,"Bedding and litter","California ","Operating costs","dollars per cwt",2006,8,"Aug",0.04
116,"Bedding and litter","California ","Operating costs","dollars per cwt",2006,9,"Sep",0.04
116,"Bedding and litter","California ","Operating costs","dollars per cwt",2006,10,"Oct",0.04
116,"Bedding and litter","California ","Operating costs","dollars per cwt",2006,11,"Nov",0.04
116,"Bedding and litter","California ","Operating costs","dollars per cwt",2006,12,"Dec",0.04
116,"Bedding and litter","California ","Operating costs","dollars per cwt",2007,1,"Jan",0.05
116,"Bedding and litter","California ","Operating costs","dollars per cwt",2007,2,"Feb",0.05
116,"Bedding and litter","California ","Operating costs","dollars per cwt",2007,3,"Mar",0.05
116,"Bedding and litter","California ","Operating costs","dollars per cwt",2007,4,"Apr",0.05
116,"Bedding and litter","California ","Operating costs","dollars per cwt",2007,5,"May",0.05
116,"Bedding and litter","California ","Operating costs","dollars per cwt",2007,6,"Jun",0.05
116,"Bedding and litter","California ","Operating costs","dollars per cwt",2007,7,"Jul",0.05
116,"Bedding and litter","California ","Operating costs","dollars per cwt",2007,8,"Aug",0.05
116,"Bedding and litter","California ","Operating costs","dollars per cwt",2007,9,"Sep",0.05
116,"Bedding and litter","California ","Operating costs","dollars per cwt",2007,10,"Oct",0.05
116,"Bedding and litter","California ","Operating costs","dollars per cwt",2007,11,"Nov",0.05
116,"Bedding and litter","California ","Operating costs","dollars per cwt",2007,12,"Dec",0.05
116,"Bedding and litter","California ","Operating costs","dollars per cwt",2008,1,"Jan",0.05
116,"Bedding and litter","California ","Operating costs","dollars per cwt",2008,2,"Feb",0.05
116,"Bedding and litter","California ","Operating costs","dollars per cwt",2008,3,"Mar",0.05
116,"Bedding and litter","California ","Operating costs","dollars per cwt",2008,4,"Apr",0.05
116,"Bedding and litter","California ","Operating costs","dollars per cwt",2008,5,"May",0.05
116,"Bedding and litter","California ","Operating costs","dollars per cwt",2008,6,"Jun",0.05
116,"Bedding and litter","California ","Operating costs","dollars per cwt",2008,7,"Jul",0.05
116,"Bedding and litter","California ","Operating costs","dollars per cwt",2008,8,"Aug",0.06
116,"Bedding and litter","California ","Operating costs","dollars per cwt",2008,9,"Sep",0.06
116,"Bedding and litter","California ","Operating costs","dollars per cwt",2008,10,"Oct",0.06
116,"Bedding and litter","California ","Operating costs","dollars per cwt",2008,11,"Nov",0.06
116,"Bedding and litter","California ","Operating costs","dollars per cwt",2008,12,"Dec",0.06
116,"Bedding and litter","California ","Operating costs","dollars per cwt",2009,1,"Jan",0.05
116,"Bedding and litter","California ","Operating costs","dollars per cwt",2009,2,"Feb",0.05
116,"Bedding and litter","California ","Operating costs","dollars per cwt",2009,3,"Mar",0.05
116,"Bedding and litter","California ","Operating costs","dollars per cwt",2009,4,"Apr",0.05
